date,state,fips,cases,deaths,Date_Start_of_Lockdown,Date_End_of_Lockdown,Lockdown_Length,"Noramliztion factor (per 1,000)"
1/21/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/22/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/23/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/24/2020,Illinois,17,1,0,21-Mar,30-May,70,0.00007892
1/24/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/25/2020,California,6,1,0,19-Mar,,,0.00002531
1/25/2020,Illinois,17,1,0,21-Mar,30-May,70,0.00007892
1/25/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/26/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
1/26/2020,California,6,2,0,19-Mar,,,0.00002531
1/26/2020,Illinois,17,1,0,21-Mar,30-May,70,0.00007892
1/26/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/27/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
1/27/2020,California,6,2,0,19-Mar,,,0.00002531
1/27/2020,Illinois,17,1,0,21-Mar,30-May,70,0.00007892
1/27/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/28/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
1/28/2020,California,6,2,0,19-Mar,,,0.00002531
1/28/2020,Illinois,17,1,0,21-Mar,30-May,70,0.00007892
1/28/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/29/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
1/29/2020,California,6,2,0,19-Mar,,,0.00002531
1/29/2020,Illinois,17,1,0,21-Mar,30-May,70,0.00007892
1/29/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/30/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
1/30/2020,California,6,2,0,19-Mar,,,0.00002531
1/30/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
1/30/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
1/31/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
1/31/2020,California,6,3,0,19-Mar,,,0.00002531
1/31/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
1/31/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/1/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/1/2020,California,6,3,0,19-Mar,,,0.00002531
2/1/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/1/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/1/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/2/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/2/2020,California,6,6,0,19-Mar,,,0.00002531
2/2/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/2/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/2/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/3/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/3/2020,California,6,6,0,19-Mar,,,0.00002531
2/3/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/3/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/3/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/4/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/4/2020,California,6,6,0,19-Mar,,,0.00002531
2/4/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/4/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/4/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/5/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/5/2020,California,6,6,0,19-Mar,,,0.00002531
2/5/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/5/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/5/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/5/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/6/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/6/2020,California,6,6,0,19-Mar,,,0.00002531
2/6/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/6/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/6/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/6/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/7/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/7/2020,California,6,6,0,19-Mar,,,0.00002531
2/7/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/7/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/7/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/7/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/8/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/8/2020,California,6,6,0,19-Mar,,,0.00002531
2/8/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/8/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/8/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/8/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/9/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/9/2020,California,6,6,0,19-Mar,,,0.00002531
2/9/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/9/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/9/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/9/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/10/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/10/2020,California,6,7,0,19-Mar,,,0.00002531
2/10/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/10/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/10/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/10/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/11/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/11/2020,California,6,7,0,19-Mar,,,0.00002531
2/11/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/11/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/11/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/11/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/12/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/12/2020,California,6,7,0,19-Mar,,,0.00002531
2/12/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/12/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/12/2020,Texas,48,1,0,2-Apr,30-Apr,28,0.00003449
2/12/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/12/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/13/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/13/2020,California,6,7,0,19-Mar,,,0.00002531
2/13/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/13/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/13/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/13/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/13/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/14/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/14/2020,California,6,7,0,19-Mar,,,0.00002531
2/14/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/14/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/14/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/14/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/14/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/15/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/15/2020,California,6,7,0,19-Mar,,,0.00002531
2/15/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/15/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/15/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/15/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/15/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/16/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/16/2020,California,6,7,0,19-Mar,,,0.00002531
2/16/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/16/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/16/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/16/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/16/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/17/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/17/2020,California,6,7,0,19-Mar,,,0.00002531
2/17/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/17/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/17/2020,Nebraska,31,10,0,,,,0.00051695
2/17/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/17/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/17/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/18/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/18/2020,California,6,7,0,19-Mar,,,0.00002531
2/18/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/18/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/18/2020,Nebraska,31,10,0,,,,0.00051695
2/18/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/18/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/18/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/19/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/19/2020,California,6,7,0,19-Mar,,,0.00002531
2/19/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/19/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/19/2020,Nebraska,31,10,0,,,,0.00051695
2/19/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/19/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/19/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/20/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/20/2020,California,6,8,0,19-Mar,,,0.00002531
2/20/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/20/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/20/2020,Nebraska,31,11,0,,,,0.00051695
2/20/2020,Texas,48,2,0,2-Apr,30-Apr,28,0.00003449
2/20/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/20/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/21/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/21/2020,California,6,9,0,19-Mar,,,0.00002531
2/21/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/21/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/21/2020,Nebraska,31,11,0,,,,0.00051695
2/21/2020,Texas,48,4,0,2-Apr,30-Apr,28,0.00003449
2/21/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/21/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/22/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/22/2020,California,6,9,0,19-Mar,,,0.00002531
2/22/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/22/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/22/2020,Nebraska,31,11,0,,,,0.00051695
2/22/2020,Texas,48,4,0,2-Apr,30-Apr,28,0.00003449
2/22/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/22/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/23/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/23/2020,California,6,9,0,19-Mar,,,0.00002531
2/23/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/23/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/23/2020,Nebraska,31,11,0,,,,0.00051695
2/23/2020,Texas,48,4,0,2-Apr,30-Apr,28,0.00003449
2/23/2020,Washington,53,1,0,23-Mar,4-May,42,0.00013132
2/23/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/24/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/24/2020,California,6,11,0,19-Mar,,,0.00002531
2/24/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/24/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/24/2020,Nebraska,31,12,0,,,,0.00051695
2/24/2020,Texas,48,10,0,2-Apr,30-Apr,28,0.00003449
2/24/2020,Washington,53,5,0,23-Mar,4-May,42,0.00013132
2/24/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/25/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/25/2020,California,6,11,0,19-Mar,,,0.00002531
2/25/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/25/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/25/2020,Nebraska,31,13,0,,,,0.00051695
2/25/2020,Texas,48,10,0,2-Apr,30-Apr,28,0.00003449
2/25/2020,Utah,49,1,0,,,,0.00031192
2/25/2020,Washington,53,5,0,23-Mar,4-May,42,0.00013132
2/25/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/26/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/26/2020,California,6,26,0,19-Mar,,,0.00002531
2/26/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/26/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/26/2020,Nebraska,31,13,0,,,,0.00051695
2/26/2020,Texas,48,10,0,2-Apr,30-Apr,28,0.00003449
2/26/2020,Utah,49,1,0,,,,0.00031192
2/26/2020,Washington,53,5,0,23-Mar,4-May,42,0.00013132
2/26/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/27/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/27/2020,California,6,26,0,19-Mar,,,0.00002531
2/27/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/27/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/27/2020,Nebraska,31,13,0,,,,0.00051695
2/27/2020,Texas,48,10,0,2-Apr,30-Apr,28,0.00003449
2/27/2020,Utah,49,1,0,,,,0.00031192
2/27/2020,Washington,53,5,0,23-Mar,4-May,42,0.00013132
2/27/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/28/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/28/2020,California,6,27,0,19-Mar,,,0.00002531
2/28/2020,Illinois,17,2,0,21-Mar,30-May,70,0.00007892
2/28/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/28/2020,Nebraska,31,13,0,,,,0.00051695
2/28/2020,Oregon,41,1,0,23-Mar,,,0.00023709
2/28/2020,Texas,48,11,0,2-Apr,30-Apr,28,0.00003449
2/28/2020,Utah,49,1,0,,,,0.00031192
2/28/2020,Washington,53,7,0,23-Mar,4-May,42,0.00013132
2/28/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
2/29/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
2/29/2020,California,6,28,0,19-Mar,,,0.00002531
2/29/2020,Illinois,17,3,0,21-Mar,30-May,70,0.00007892
2/29/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
2/29/2020,Nebraska,31,13,0,,,,0.00051695
2/29/2020,Oregon,41,1,0,23-Mar,,,0.00023709
2/29/2020,Texas,48,11,0,2-Apr,30-Apr,28,0.00003449
2/29/2020,Utah,49,1,0,,,,0.00031192
2/29/2020,Washington,53,10,1,23-Mar,4-May,42,0.00013132
2/29/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/1/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
3/1/2020,California,6,33,0,19-Mar,,,0.00002531
3/1/2020,Florida,12,2,0,20-Mar,30-Apr,41,0.00004656
3/1/2020,Illinois,17,3,0,21-Mar,30-May,70,0.00007892
3/1/2020,Massachusetts,25,1,0,24-Apr,18-May,24,0.00014509
3/1/2020,Nebraska,31,13,0,,,,0.00051695
3/1/2020,New York,36,1,0,22-Mar,15-May,54,0.0000514
3/1/2020,Oregon,41,2,0,23-Mar,,,0.00023709
3/1/2020,Rhode Island,44,2,0,28-Mar,8-May,41,0.00094397
3/1/2020,Texas,48,11,0,2-Apr,30-Apr,28,0.00003449
3/1/2020,Utah,49,1,0,,,,0.00031192
3/1/2020,Washington,53,17,3,23-Mar,4-May,42,0.00013132
3/1/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/2/2020,Arizona,4,1,0,30-Mar,15-May,46,0.00013739
3/2/2020,California,6,38,0,19-Mar,,,0.00002531
3/2/2020,Florida,12,2,0,20-Mar,30-Apr,41,0.00004656
3/2/2020,Georgia,13,2,0,3-Apr,30-Apr,27,0.00009418
3/2/2020,Illinois,17,4,0,21-Mar,30-May,70,0.00007892
3/2/2020,Massachusetts,25,2,0,24-Apr,18-May,24,0.00014509
3/2/2020,Nebraska,31,13,0,,,,0.00051695
3/2/2020,New Hampshire,33,1,0,27-Mar,4-May,38,0.00073545
3/2/2020,New York,36,1,0,22-Mar,15-May,54,0.0000514
3/2/2020,Oregon,41,2,0,23-Mar,,,0.00023709
3/2/2020,Rhode Island,44,2,0,28-Mar,8-May,41,0.00094397
3/2/2020,Texas,48,11,0,2-Apr,30-Apr,28,0.00003449
3/2/2020,Utah,49,1,0,,,,0.00031192
3/2/2020,Washington,53,23,6,23-Mar,4-May,42,0.00013132
3/2/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/3/2020,Arizona,4,2,0,30-Mar,15-May,46,0.00013739
3/3/2020,California,6,45,0,19-Mar,,,0.00002531
3/3/2020,Florida,12,3,0,20-Mar,30-Apr,41,0.00004656
3/3/2020,Georgia,13,2,0,3-Apr,30-Apr,27,0.00009418
3/3/2020,Illinois,17,4,0,21-Mar,30-May,70,0.00007892
3/3/2020,Massachusetts,25,2,0,24-Apr,18-May,24,0.00014509
3/3/2020,Nebraska,31,13,0,,,,0.00051695
3/3/2020,New Hampshire,33,2,0,27-Mar,4-May,38,0.00073545
3/3/2020,New York,36,2,0,22-Mar,15-May,54,0.0000514
3/3/2020,North Carolina,37,1,0,30-Mar,8-May,39,0.00009535
3/3/2020,Oregon,41,2,0,23-Mar,,,0.00023709
3/3/2020,Rhode Island,44,2,0,28-Mar,8-May,41,0.00094397
3/3/2020,Texas,48,11,0,2-Apr,30-Apr,28,0.00003449
3/3/2020,Utah,49,1,0,,,,0.00031192
3/3/2020,Washington,53,32,10,23-Mar,4-May,42,0.00013132
3/3/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/4/2020,Arizona,4,2,0,30-Mar,15-May,46,0.00013739
3/4/2020,California,6,55,1,19-Mar,,,0.00002531
3/4/2020,Florida,12,3,0,20-Mar,30-Apr,41,0.00004656
3/4/2020,Georgia,13,2,0,3-Apr,30-Apr,27,0.00009418
3/4/2020,Illinois,17,4,0,21-Mar,30-May,70,0.00007892
3/4/2020,Massachusetts,25,2,0,24-Apr,18-May,24,0.00014509
3/4/2020,Nebraska,31,13,0,,,,0.00051695
3/4/2020,New Hampshire,33,2,0,27-Mar,4-May,38,0.00073545
3/4/2020,New Jersey,34,1,0,21-Mar,,,0.00011258
3/4/2020,New York,36,11,0,22-Mar,15-May,54,0.0000514
3/4/2020,North Carolina,37,1,0,30-Mar,8-May,39,0.00009535
3/4/2020,Oregon,41,2,0,23-Mar,,,0.00023709
3/4/2020,Rhode Island,44,2,0,28-Mar,8-May,41,0.00094397
3/4/2020,Texas,48,12,0,2-Apr,30-Apr,28,0.00003449
3/4/2020,Utah,49,1,0,,,,0.00031192
3/4/2020,Washington,53,47,11,23-Mar,4-May,42,0.00013132
3/4/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/5/2020,Arizona,4,2,0,30-Mar,15-May,46,0.00013739
3/5/2020,California,6,67,1,19-Mar,,,0.00002531
3/5/2020,Colorado,8,2,0,26-Mar,27-Apr,32,0.00017365
3/5/2020,Florida,12,4,0,20-Mar,30-Apr,41,0.00004656
3/5/2020,Georgia,13,2,0,3-Apr,30-Apr,27,0.00009418
3/5/2020,Illinois,17,5,0,21-Mar,30-May,70,0.00007892
3/5/2020,Maryland,24,3,0,30-Mar,,,0.00016541
3/5/2020,Massachusetts,25,3,0,24-Apr,18-May,24,0.00014509
3/5/2020,Nebraska,31,13,0,,,,0.00051695
3/5/2020,Nevada,32,2,0,31-Mar,15-May,45,0.00032466
3/5/2020,New Hampshire,33,2,0,27-Mar,4-May,38,0.00073545
3/5/2020,New Jersey,34,2,0,21-Mar,,,0.00011258
3/5/2020,New York,36,22,0,22-Mar,15-May,54,0.0000514
3/5/2020,North Carolina,37,1,0,30-Mar,8-May,39,0.00009535
3/5/2020,Oregon,41,2,0,23-Mar,,,0.00023709
3/5/2020,Rhode Island,44,2,0,28-Mar,8-May,41,0.00094397
3/5/2020,Tennessee,47,1,0,2-Apr,30-Apr,28,0.00014643
3/5/2020,Texas,48,16,0,2-Apr,30-Apr,28,0.00003449
3/5/2020,Utah,49,1,0,,,,0.00031192
3/5/2020,Washington,53,75,11,23-Mar,4-May,42,0.00013132
3/5/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/6/2020,Arizona,4,3,0,30-Mar,15-May,46,0.00013739
3/6/2020,California,6,81,1,19-Mar,,,0.00002531
3/6/2020,Colorado,8,8,0,26-Mar,27-Apr,32,0.00017365
3/6/2020,Florida,12,7,2,20-Mar,30-Apr,41,0.00004656
3/6/2020,Georgia,13,3,0,3-Apr,30-Apr,27,0.00009418
3/6/2020,Hawaii,15,1,0,25-Mar,31-May,67,0.00070628
3/6/2020,Illinois,17,6,0,21-Mar,30-May,70,0.00007892
3/6/2020,Indiana,18,1,0,25-Mar,1-May,37,0.00014854
3/6/2020,Kentucky,21,1,0,26-Mar,,,0.00022383
3/6/2020,Maryland,24,3,0,30-Mar,,,0.00016541
3/6/2020,Massachusetts,25,8,0,24-Apr,18-May,24,0.00014509
3/6/2020,Minnesota,27,1,0,27-Mar,4-May,38,0.00017732
3/6/2020,Nebraska,31,14,0,,,,0.00051695
3/6/2020,Nevada,32,2,0,31-Mar,15-May,45,0.00032466
3/6/2020,New Hampshire,33,2,0,27-Mar,4-May,38,0.00073545
3/6/2020,New Jersey,34,4,0,21-Mar,,,0.00011258
3/6/2020,New York,36,44,0,22-Mar,15-May,54,0.0000514
3/6/2020,North Carolina,37,2,0,30-Mar,8-May,39,0.00009535
3/6/2020,Oklahoma,40,1,0,,,,0.00025272
3/6/2020,Oregon,41,2,0,23-Mar,,,0.00023709
3/6/2020,Pennsylvania,42,2,0,1-Apr,8-May,37,0.00007811
3/6/2020,Rhode Island,44,3,0,28-Mar,8-May,41,0.00094397
3/6/2020,South Carolina,45,2,0,7-Apr,12-May,35,0.00019422
3/6/2020,Tennessee,47,1,0,2-Apr,30-Apr,28,0.00014643
3/6/2020,Texas,48,19,0,2-Apr,30-Apr,28,0.00003449
3/6/2020,Utah,49,3,0,,,,0.00031192
3/6/2020,Washington,53,86,12,23-Mar,4-May,42,0.00013132
3/6/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/7/2020,Arizona,4,5,0,30-Mar,15-May,46,0.00013739
3/7/2020,California,6,100,1,19-Mar,,,0.00002531
3/7/2020,Colorado,8,8,0,26-Mar,27-Apr,32,0.00017365
3/7/2020,Florida,12,12,2,20-Mar,30-Apr,41,0.00004656
3/7/2020,Georgia,13,7,0,3-Apr,30-Apr,27,0.00009418
3/7/2020,Hawaii,15,1,0,25-Mar,31-May,67,0.00070628
3/7/2020,Illinois,17,6,0,21-Mar,30-May,70,0.00007892
3/7/2020,Indiana,18,1,0,25-Mar,1-May,37,0.00014854
3/7/2020,Kansas,20,1,0,30-Mar,3-May,34,0.00034325
3/7/2020,Kentucky,21,1,0,26-Mar,,,0.00022383
3/7/2020,Maryland,24,3,0,30-Mar,,,0.00016541
3/7/2020,Massachusetts,25,13,0,24-Apr,18-May,24,0.00014509
3/7/2020,Minnesota,27,1,0,27-Mar,4-May,38,0.00017732
3/7/2020,Missouri,29,1,0,6-Apr,3-May,27,0.00016293
3/7/2020,Nebraska,31,14,0,,,,0.00051695
3/7/2020,Nevada,32,2,0,31-Mar,15-May,45,0.00032466
3/7/2020,New Hampshire,33,4,0,27-Mar,4-May,38,0.00073545
3/7/2020,New Jersey,34,4,0,21-Mar,,,0.00011258
3/7/2020,New York,36,89,0,22-Mar,15-May,54,0.0000514
3/7/2020,North Carolina,37,2,0,30-Mar,8-May,39,0.00009535
3/7/2020,Oklahoma,40,1,0,,,,0.00025272
3/7/2020,Oregon,41,6,0,23-Mar,,,0.00023709
3/7/2020,Pennsylvania,42,4,0,1-Apr,8-May,37,0.00007811
3/7/2020,Rhode Island,44,3,0,28-Mar,8-May,41,0.00094397
3/7/2020,South Carolina,45,2,0,7-Apr,12-May,35,0.00019422
3/7/2020,Tennessee,47,1,0,2-Apr,30-Apr,28,0.00014643
3/7/2020,Texas,48,19,0,2-Apr,30-Apr,28,0.00003449
3/7/2020,Utah,49,3,0,,,,0.00031192
3/7/2020,Vermont,50,1,0,24-Mar,15-May,52,0.00160259
3/7/2020,Virginia,51,1,0,30-Mar,10-Jun,72,0.00011716
3/7/2020,Washington,53,110,16,23-Mar,4-May,42,0.00013132
3/7/2020,Wisconsin,55,1,0,25-Mar,26-May,62,0.00017175
3/8/2020,Arizona,4,5,0,30-Mar,15-May,46,0.00013739
3/8/2020,California,6,112,1,19-Mar,,,0.00002531
3/8/2020,Colorado,8,8,0,26-Mar,27-Apr,32,0.00017365
3/8/2020,Connecticut,9,1,0,23-Mar,20-May,58,0.00028048
3/8/2020,Florida,12,13,2,20-Mar,30-Apr,41,0.00004656
3/8/2020,Georgia,13,11,0,3-Apr,30-Apr,27,0.00009418
3/8/2020,Hawaii,15,2,0,25-Mar,31-May,67,0.00070628
3/8/2020,Illinois,17,7,0,21-Mar,30-May,70,0.00007892
3/8/2020,Indiana,18,2,0,25-Mar,1-May,37,0.00014854
3/8/2020,Iowa,19,3,0,,,,0.00031695
3/8/2020,Kansas,20,1,0,30-Mar,3-May,34,0.00034325
3/8/2020,Kentucky,21,4,0,26-Mar,,,0.00022383
3/8/2020,Maryland,24,5,0,30-Mar,,,0.00016541
3/8/2020,Massachusetts,25,28,0,24-Apr,18-May,24,0.00014509
3/8/2020,Minnesota,27,2,0,27-Mar,4-May,38,0.00017732
3/8/2020,Missouri,29,1,0,6-Apr,3-May,27,0.00016293
3/8/2020,Nebraska,31,16,0,,,,0.00051695
3/8/2020,Nevada,32,4,0,31-Mar,15-May,45,0.00032466
